,0
88552769,142
88546242,142
88534781,142
88585232,142
88552770,142
88498041,142
88510203,142
88525595,142
88525791,142
88495134,142
88538531,142
88502829,142
88511554,142
88524772,142
88600392,142
88624041,142
88687765,142
88661816,142
88572423,143
88508078,143
88661000,113
88591668,144
88660998,113
88661001,113
88504966,145
920165,146
88591667,144
88504965,144
88504967,144
88494603,144
88508863,144
88507917,144
88591669,144
88564760,144
88504808,144
88507918,144
88507060,144
88509698,144
88561956,144
88561957,144
88559697,147
88670951,28
88689412,147
88565711,148
88582420,148
88544781,148
88521973,148
88544783,148
88512228,148
88548902,148
88533966,148
88565712,148
88512227,148
88544782,148
88548901,148
88511372,148
88565710,148
88565709,148
88538787,148
88597818,148
88665006,148
88654119,148
88662742,148
88674098,148
88668344,148
88677615,149
88584398,150
88584399,149
88640078,79
88612215,79
88648789,79
88652603,79
88678944,79
88576553,151
808168,151
928340,151
784013,151
915512,151
954893,151
775151,151
88494391,152
833426,152
835650,152
876709,152
877316,152
828567,152
898378,152
912197,152
860257,152
826465,152
88572676,153
88660681,154
88667010,155
88494383,156
88664561,155
88670974,155
88667012,155
88670975,155
88670973,155
88664562,155
88667011,155
88670972,157
88690843,155
760625,158
88544119,155
88530837,155
88559270,155
88544118,155
88508361,155
88527650,155
88499503,155
88521411,155
88544090,155
88578109,79
88615261,159
88632846,155
88678814,79
88685887,160
88547779,161
88586140,161
88573699,161
88573048,161
88576368,161
88573049,161
88573701,161
88598128,161
88573700,161
88573702,161
88608509,161
88615567,161
88652238,161
88662210,156
88556716,156
88581366,156
88603007,156
88603223,156
88556717,156
88600329,156
88603006,156
88603008,156
88556913,156
88581365,156
88605756,156
88538071,156
88601217,156
88601216,156
88603222,156
88662212,156
88662211,156
88695252,156
88693830,156
88689213,156
88695743,156
88695253,156
88689211,156
88689209,156
88689210,156
88695742,156
88695251,156
88696162,156
88693826,156
88693827,156
88695744,156
88696163,156
88693829,156
88689212,156
88693828,156
88697606,156
88577177,162
88567546,162
88525584,162
88513555,162
88513557,162
88495129,162
88525581,162
88525583,162
88509366,162
88509367,162
88513556,162
88535789,162
88525582,162
88503005,162
88504480,162
88572550,163
88661224,162
893444,162
792980,162
760151,162
891118,162
808087,162
902265,162
88541271,162
88572984,164
954873,164
88494277,164
88494373,164
88547359,164
88572972,164
88574769,164
766718,164
850357,164
767279,164
871449,164
835999,164
88543337,164
88506864,164
88561249,164
88561254,164
88545321,164
88572383,164
88562638,164
88588958,164
88645887,164
88645889,164
88657082,164
88670558,164
88665870,164
88657520,164
88629696,164
88669529,164
88681957,164
88641340,164
88681956,164
88674867,164
88640839,164
88675124,164
88674866,164
88669528,164
88674868,164
88687835,164
88680752,164
88494276,164
763870,164
88570169,164
88540137,164
88506869,164
88645656,164
88677036,164
88654011,164
771774,165
814016,166
877036,166
906997,165
88630666,166
88698240,166
88662209,166
811979,166
88558946,166
88661494,166
88667758,166
962841,167
88576557,167
847788,167
921902,167
885183,167
801352,167
820245,167
940447,167
808883,167
856790,167
983576,167
772218,167
880942,167
882931,167
894969,167
856516,167
867302,167
925172,167
876234,167
958940,167
896455,167
860313,167
924921,167
